EmpleadoId;Fecha;Entrada;Salida
4296862;02/02/2019;;
4296862;03/02/2019;;
4296862;04/02/2019;;
4296862;05/02/2019;;
4296862;06/02/2019;;
4296862;07/02/2019;;
4296862;08/02/2019;;
4296862;09/02/2019;;
4296862;10/02/2019;;
4296862;11/02/2019;;
4296862;12/02/2019;;
4296862;13/02/2019;;
4296862;14/02/2019;;
4296862;15/02/2019;;
4296862;16/02/2019;;
4296862;17/02/2019;;
4296862;18/02/2019;;
4296862;19/02/2019;;
4296862;20/02/2019;;
4296862;21/02/2019;;
4296862;22/02/2019;;
4296862;23/02/2019;;
4296862;24/02/2019;;
4296862;25/02/2019;;
4296862;26/02/2019;;
4296862;27/02/2019;;
4296862;28/02/2019;;
4296862;01/03/2019;;
4296862;02/03/2019;;
4296862;03/03/2019;;
4296862;04/03/2019;;
4296862;05/03/2019;;
4296862;06/03/2019;;
4296862;07/03/2019;;
4296862;08/03/2019;;
4296862;09/03/2019;;
4296862;10/03/2019;;
4296862;11/03/2019;;
4296862;12/03/2019;;
4296862;13/03/2019;;
4296862;14/03/2019;;
4296862;15/03/2019;;
4296862;16/03/2019;;
4296862;17/03/2019;;
4296862;18/03/2019;;
4296862;19/03/2019;;
4296862;20/03/2019;;
4296862;21/03/2019;;
4296862;22/03/2019;;
4296862;23/03/2019;;
4296862;24/03/2019;;
4296862;25/03/2019;;
4296862;26/03/2019;;
4296862;27/03/2019;;
4296862;28/03/2019;;
4296862;29/03/2019;;
4296862;30/03/2019;;
4296862;31/03/2019;;
4296862;01/04/2019;;
4296862;02/04/2019;;
4296862;03/04/2019;;
4296862;04/04/2019;;
4296862;05/04/2019;;
4296862;06/04/2019;;
4296862;07/04/2019;;
4296862;08/04/2019;;
4296862;09/04/2019;;
4296862;10/04/2019;;
4296862;11/04/2019;;
4296862;12/04/2019;;
4296862;13/04/2019;;
4296862;14/04/2019;;
4296862;15/04/2019;;
4296862;16/04/2019;;
4296862;17/04/2019;;
4296862;18/04/2019;;
4296862;19/04/2019;;
4296862;20/04/2019;;
4296862;21/04/2019;;
4296862;22/04/2019;;
4296862;23/04/2019;;
4296862;24/04/2019;;
4296862;25/04/2019;;
4296862;26/04/2019;;
4296862;27/04/2019;;
4296862;28/04/2019;;
4296862;29/04/2019;;
4296862;30/04/2019;;
4296862;01/05/2019;;
4296862;02/05/2019;;
4296862;03/05/2019;;
4296862;04/05/2019;;
4296862;05/05/2019;;
4296862;06/05/2019;;
4296862;07/05/2019;;
4296862;08/05/2019;08/05/2019 08:35;08/05/2019 18:05
4296862;09/05/2019;09/05/2019 07:55;09/05/2019 18:00
4296862;10/05/2019;10/05/2019 07:54;10/05/2019 14:01
4296862;11/05/2019;;
4296862;12/05/2019;;
4296862;13/05/2019;13/05/2019 07:50;13/05/2019 17:55
4296862;14/05/2019;;
4296862;15/05/2019;15/05/2019 08:05;15/05/2019 18:09
4296862;16/05/2019;16/05/2019 07:44;16/05/2019 18:06
4296862;17/05/2019;17/05/2019 08:11;17/05/2019 14:04
4296862;18/05/2019;;
4296862;19/05/2019;;
4296862;20/05/2019;;
4296862;21/05/2019;;
4296862;22/05/2019;;
4296862;23/05/2019;;
4296862;24/05/2019;;
4296862;25/05/2019;;
4296862;26/05/2019;;
4296862;27/05/2019;;
4296862;28/05/2019;;
4296862;29/05/2019;;
4296862;30/05/2019;;
4296862;31/05/2019;;
4296862;01/06/2019;;
4296862;02/06/2019;;
4296862;03/06/2019;;
4296862;04/06/2019;;
4296862;05/06/2019;;
4296862;06/06/2019;;
4296862;07/06/2019;;
4296862;08/06/2019;;
4296862;09/06/2019;;
4296862;10/06/2019;;
4296862;11/06/2019;;
4296862;12/06/2019;;
4296862;13/06/2019;;
4296862;14/06/2019;;
4296862;15/06/2019;;
4296862;16/06/2019;;
4296862;17/06/2019;;
4296862;18/06/2019;;
4296862;19/06/2019;;
4296862;20/06/2019;;
4296862;21/06/2019;;
4296862;22/06/2019;;
4296862;23/06/2019;;
4296862;24/06/2019;24/06/2019 07:56;24/06/2019 18:09
4296862;25/06/2019;25/06/2019 07:35;
4296862;26/06/2019;26/06/2019 07:40;26/06/2019 18:10
4296862;27/06/2019;27/06/2019 08:03;27/06/2019 18:07
4296862;28/06/2019;28/06/2019 07:52;28/06/2019 14:11
4296862;29/06/2019;;
4296862;30/06/2019;;
4296862;01/07/2019;01/07/2019 07:53;
4296862;02/07/2019;;02/07/2019 18:00
4296862;03/07/2019;03/07/2019 08:04;03/07/2019 18:01
4296862;04/07/2019;04/07/2019 07:56;04/07/2019 18:01
4296862;05/07/2019;05/07/2019 07:54;05/07/2019 14:24
4296862;06/07/2019;;
4296862;07/07/2019;;
4296862;08/07/2019;08/07/2019 07:46;08/07/2019 18:03
4296862;09/07/2019;;
4296862;10/07/2019;;
4296862;11/07/2019;;
4296862;12/07/2019;;
4296862;13/07/2019;;
4296862;14/07/2019;;
4296862;15/07/2019;;
4296862;16/07/2019;;
4296862;17/07/2019;;
4296862;18/07/2019;18/07/2019 07:45;18/07/2019 18:03
4296862;19/07/2019;19/07/2019 07:29;19/07/2019 14:01
4296862;20/07/2019;;
4296862;21/07/2019;;
4296862;22/07/2019;22/07/2019 08:00;22/07/2019 18:02
4296862;23/07/2019;23/07/2019 07:46;23/07/2019 18:00
4296862;24/07/2019;24/07/2019 07:47;24/07/2019 17:58
4296862;25/07/2019;25/07/2019 07:40;25/07/2019 18:06
4296862;26/07/2019;26/07/2019 07:29;26/07/2019 14:07
4296862;27/07/2019;;
4296862;28/07/2019;;
4296862;29/07/2019;29/07/2019 07:53;29/07/2019 18:11
4296862;30/07/2019;30/07/2019 07:36;30/07/2019 18:04
4296862;31/07/2019;31/07/2019 07:38;31/07/2019 18:01
4296862;01/08/2019;01/08/2019 07:52;01/08/2019 18:01
4296862;02/08/2019;02/08/2019 07:40;02/08/2019 14:02
4296862;03/08/2019;;
4296862;04/08/2019;;
4296862;05/08/2019;05/08/2019 07:44;05/08/2019 18:15
4296862;06/08/2019;06/08/2019 07:32;06/08/2019 18:03
4296862;07/08/2019;07/08/2019 07:38;
4296862;08/08/2019;08/08/2019 07:30;08/08/2019 18:01
4296862;09/08/2019;09/08/2019 07:37;09/08/2019 14:01
4296862;10/08/2019;;
4296862;11/08/2019;;
4296862;12/08/2019;12/08/2019 07:18;12/08/2019 18:07
4296862;13/08/2019;13/08/2019 07:22;13/08/2019 18:03
4296862;14/08/2019;14/08/2019 07:32;14/08/2019 18:03
4296862;15/08/2019;;
4296862;16/08/2019;16/08/2019 07:44;16/08/2019 14:00
4296862;17/08/2019;;
4296862;18/08/2019;;
4296862;19/08/2019;19/08/2019 07:32;19/08/2019 18:02
4296862;20/08/2019;20/08/2019 07:30;20/08/2019 18:01
4296862;21/08/2019;21/08/2019 07:36;21/08/2019 18:02
4296862;22/08/2019;22/08/2019 07:32;22/08/2019 18:14
4296862;23/08/2019;23/08/2019 07:30;23/08/2019 14:00
4296862;24/08/2019;;
4296862;25/08/2019;;
4296862;26/08/2019;26/08/2019 07:32;26/08/2019 18:01
4296862;27/08/2019;27/08/2019 07:34;
4296862;28/08/2019;28/08/2019 07:35;28/08/2019 18:01
4296862;29/08/2019;29/08/2019 07:40;29/08/2019 18:01
4296862;30/08/2019;30/08/2019 07:28;30/08/2019 14:01
4296862;31/08/2019;;
4296862;01/09/2019;;
4296862;02/09/2019;02/09/2019 07:28;02/09/2019 18:01
4296862;03/09/2019;03/09/2019 07:35;03/09/2019 18:20
4296862;04/09/2019;04/09/2019 07:35;04/09/2019 18:02
4296862;05/09/2019;05/09/2019 07:35;05/09/2019 18:01
4296862;06/09/2019;06/09/2019 07:35;06/09/2019 14:01
4296862;07/09/2019;;
4296862;08/09/2019;;
4296862;09/09/2019;09/09/2019 07:34;09/09/2019 18:00
4296862;10/09/2019;10/09/2019 07:36;10/09/2019 18:02
4296862;11/09/2019;11/09/2019 07:35;11/09/2019 18:05
4296862;12/09/2019;12/09/2019 07:38;12/09/2019 18:01
4296862;13/09/2019;13/09/2019 07:36;
4296862;14/09/2019;;
4296862;15/09/2019;;
4296862;16/09/2019;16/09/2019 07:33;16/09/2019 17:33
4296862;17/09/2019;17/09/2019 07:25;
4296862;18/09/2019;;
4296862;19/09/2019;;
4296862;20/09/2019;;
4296862;21/09/2019;;
4296862;22/09/2019;;
4296862;23/09/2019;;
4296862;24/09/2019;;
4296862;25/09/2019;;
4296862;26/09/2019;;
4296862;27/09/2019;;
4296862;28/09/2019;;
4296862;29/09/2019;;
4296862;30/09/2019;30/09/2019 07:21;30/09/2019 18:02
4296862;01/10/2019;01/10/2019 07:38;01/10/2019 18:01
4296862;02/10/2019;02/10/2019 07:34;02/10/2019 18:03
4296862;03/10/2019;03/10/2019 07:19;03/10/2019 18:04
4296862;04/10/2019;04/10/2019 07:28;04/10/2019 14:08
4296862;05/10/2019;;
4296862;06/10/2019;;
4296862;07/10/2019;07/10/2019 07:15;07/10/2019 18:02
4296862;08/10/2019;08/10/2019 07:17;
4296862;09/10/2019;09/10/2019 07:31;09/10/2019 18:01
4296862;10/10/2019;10/10/2019 07:36;10/10/2019 18:02
4296862;11/10/2019;11/10/2019 07:34;11/10/2019 14:03
4296862;12/10/2019;;
4296862;13/10/2019;;
4296862;14/10/2019;14/10/2019 07:32;14/10/2019 18:00
4296862;15/10/2019;15/10/2019 07:29;15/10/2019 18:05
4296862;16/10/2019;16/10/2019 07:14;
4296862;17/10/2019;17/10/2019 07:27;17/10/2019 18:02
4296862;18/10/2019;18/10/2019 07:21;18/10/2019 14:07
4296862;19/10/2019;;
4296862;20/10/2019;;
4296862;21/10/2019;;
4296862;22/10/2019;22/10/2019 07:25;
4296862;23/10/2019;23/10/2019 07:46;
4296862;24/10/2019;24/10/2019 07:36;
4296862;25/10/2019;25/10/2019 07:37;25/10/2019 14:02
4296862;26/10/2019;;
4296862;27/10/2019;;
4296862;28/10/2019;28/10/2019 07:38;28/10/2019 16:39
4296862;29/10/2019;29/10/2019 07:39;29/10/2019 17:11
4296862;30/10/2019;30/10/2019 07:25;
4296862;31/10/2019;;
4296862;01/11/2019;;
4296862;02/11/2019;;
4296862;03/11/2019;;
4296862;04/11/2019;04/11/2019 07:44;04/11/2019 18:02
4296862;05/11/2019;05/11/2019 07:23;05/11/2019 18:00
4296862;06/11/2019;06/11/2019 07:20;06/11/2019 17:02
4296862;07/11/2019;07/11/2019 07:20;07/11/2019 18:00
4296862;08/11/2019;08/11/2019 07:38;08/11/2019 14:01
4296862;09/11/2019;;
4296862;10/11/2019;;
4296862;11/11/2019;;
4296862;12/11/2019;12/11/2019 07:17;
4296862;13/11/2019;13/11/2019 07:11;13/11/2019 18:00
4296862;14/11/2019;;
4296862;15/11/2019;15/11/2019 07:13;15/11/2019 14:00
4296862;16/11/2019;;
4296862;17/11/2019;;
4296862;18/11/2019;;18/11/2019 18:03
4296862;19/11/2019;19/11/2019 07:21;19/11/2019 18:03
4296862;20/11/2019;20/11/2019 07:36;20/11/2019 18:05
4296862;21/11/2019;21/11/2019 07:15;21/11/2019 18:00
4296862;22/11/2019;22/11/2019 07:24;22/11/2019 14:01
4296862;23/11/2019;;
4296862;24/11/2019;;
4296862;25/11/2019;;25/11/2019 18:01
4296862;26/11/2019;;
4296862;27/11/2019;27/11/2019 07:21;27/11/2019 18:02
4296862;28/11/2019;28/11/2019 07:15;28/11/2019 18:01
4296862;29/11/2019;;29/11/2019 14:03
4296862;30/11/2019;;
4296862;01/12/2019;;
4296862;02/12/2019;02/12/2019 07:16;02/12/2019 18:05
4296862;03/12/2019;03/12/2019 07:03;03/12/2019 18:01
4296862;04/12/2019;;04/12/2019 18:04
4296862;05/12/2019;;06/12/2019 06:38
4296862;06/12/2019;;06/12/2019 14:00
4296862;07/12/2019;;
4296862;08/12/2019;;
4296862;09/12/2019;;
4296862;10/12/2019;;
4296862;11/12/2019;;
4296862;12/12/2019;;
4296862;13/12/2019;;
4296862;14/12/2019;;
4296862;15/12/2019;;
4296862;16/12/2019;;
4296862;17/12/2019;;
4296862;18/12/2019;;
4296862;19/12/2019;;
4296862;20/12/2019;;
4296862;21/12/2019;;
4296862;22/12/2019;;
4296862;23/12/2019;;
4296862;24/12/2019;;
4296862;25/12/2019;;
4296862;26/12/2019;;
4296862;27/12/2019;;
4296862;28/12/2019;;
4296862;29/12/2019;;
4296862;30/12/2019;;
4296862;31/12/2019;;
4296862;01/01/2020;;
4296862;02/01/2020;02/01/2020 07:07;02/01/2020 18:11
4296862;03/01/2020;;03/01/2020 14:10
4296862;04/01/2020;;
4296862;05/01/2020;;
4296862;06/01/2020;06/01/2020 07:21;06/01/2020 18:00
4296862;07/01/2020;07/01/2020 07:35;07/01/2020 18:04
4296862;08/01/2020;08/01/2020 07:17;08/01/2020 18:00
4296862;09/01/2020;09/01/2020 07:43;09/01/2020 18:04
4296862;10/01/2020;10/01/2020 07:17;10/01/2020 14:02
4296862;11/01/2020;;
4296862;12/01/2020;;
4296862;13/01/2020;13/01/2020 07:12;13/01/2020 18:02
4296862;14/01/2020;14/01/2020 07:22;14/01/2020 18:06
4296862;15/01/2020;;15/01/2020 18:02
4296862;16/01/2020;16/01/2020 07:08;16/01/2020 18:01
4296862;17/01/2020;17/01/2020 07:47;17/01/2020 14:03
4296862;18/01/2020;;
4296862;19/01/2020;;
4296862;20/01/2020;20/01/2020 07:09;20/01/2020 18:00
4296862;21/01/2020;21/01/2020 07:20;21/01/2020 18:01
