Id del Empleado,Fecha,Hora,Tipo de Marcación
11635934,22/08/23,07:30:55,Entrada
11635934,16/08/23,17:30:14,Salida
11635934,16/08/23,07:39:40,Entrada
11635934,14/08/23,17:33:47,Salida
11635934,14/08/23,08:07:29,Entrada
11635934,11/08/23,14:07:34,Salida
11635934,11/08/23,08:09:23,Entrada
11635934,10/08/23,17:32:28,Salida
11635934,10/08/23,07:47:45,Entrada
11635934,09/08/23,17:31:17,Salida
11635934,09/08/23,07:59:32,Entrada
11635934,08/08/23,17:31:07,Salida
11635934,08/08/23,07:58:17,Entrada
11635934,07/08/23,17:46:11,Salida
11635934,07/08/23,08:03:39,Entrada
11635934,28/07/23,14:00:09,Salida
11635934,28/07/23,08:04:29,Entrada
11635934,27/07/23,17:32:21,Salida
11635934,27/07/23,08:25:23,Entrada
11635934,26/07/23,17:36:27,Salida
11635934,26/07/23,08:44:37,Entrada
11635934,25/07/23,17:36:56,Salida
11635934,24/07/23,17:42:39,Salida
11635934,24/07/23,08:32:22,Entrada
11635934,17/07/23,17:30:11,Salida
11635934,17/07/23,08:43:29,Entrada
11635934,14/07/23,14:01:55,Salida
11635934,14/07/23,08:06:55,Entrada
11635934,13/07/23,17:31:28,Salida
11635934,13/07/23,08:24:56,Entrada
11635934,12/07/23,17:44:12,Salida
11635934,12/07/23,08:17:20,Entrada
11635934,10/07/23,18:06:49,Salida
11635934,10/07/23,07:45:41,Entrada
11635934,07/07/23,14:25:26,Salida
11635934,07/07/23,08:17:39,Entrada
11635934,07/07/23,08:17:37,Entrada
11635934,06/07/23,17:40:56,Salida
11635934,06/07/23,08:29:56,Entrada
11635934,05/07/23,17:39:34,Salida
11635934,05/07/23,08:22:05,Entrada
11635934,04/07/23,17:31:08,Entrada
11635934,04/07/23,08:35:50,Entrada
11635934,30/06/23,14:02:58,Entrada
11635934,30/06/23,08:28:11,Entrada
11635934,29/06/23,17:30:51,Salida
11635934,29/06/23,08:32:03,Entrada
11635934,28/06/23,17:34:53,Salida
11635934,28/06/23,08:31:32,Entrada
11635934,27/06/23,17:34:15,Salida
11635934,27/06/23,08:31:06,Entrada
11635934,23/06/23,14:06:56,Salida
11635934,23/06/23,08:51:08,Entrada
11635934,22/06/23,17:35:24,Salida
11635934,22/06/23,08:33:29,Entrada
11635934,20/06/23,17:30:01,Salida
11635934,20/06/23,08:30:02,Entrada
11635934,19/06/23,17:36:57,Salida
11635934,19/06/23,08:34:09,Entrada
